,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
192,11.5,35.3,34.8,34.1,34.1,2.227437726409764,3,550
193,11.5,35.3,34.8,34.1,34.1,1.859925305399735,4,550
194,11.5,35.3,34.8,34.0,34.0,1.960786236064937,3,550
195,11.5,35.4,34.9,34.0,34.1,1.839415360221907,3,550
196,11.5,35.2,34.7,33.9,34.0,1.855247986360217,3,550
197,11.4,35.2,34.7,33.9,33.9,1.9187449872787206,3,550
198,11.5,35.3,34.8,34.0,34.1,2.026083802878255,4,550
199,11.4,35.3,34.8,33.9,34.1,1.9490707805053942,3,550
200,11.4,35.3,34.8,33.9,34.0,1.852701006479822,4,550
201,11.4,35.2,34.7,33.8,34.0,2.1117451039189765,4,550
202,11.4,35.3,34.8,33.9,34.1,1.855705878041154,4,550
203,11.4,35.4,34.8,34.0,34.2,2.141566084446234,3,550
204,11.4,35.3,34.8,34.0,34.2,1.9179684877777459,3,550
205,11.4,35.3,34.8,34.0,34.2,1.9945548652179552,4,550
206,11.4,35.3,34.8,34.0,34.2,2.3279924014328017,4,550
207,11.4,35.3,34.8,34.0,34.2,1.9578149610345879,4,550
