,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
77,13.3,32.5,32.2,31.5,31.1,3.8961595555261184,3,350
78,13.3,32.6,32.2,31.8,31.2,4.225624695226819,3,350
79,13.4,32.7,32.4,32.0,31.2,4.14790775384988,4,350
80,13.4,32.9,32.4,32.1,31.4,4.195285505959823,3,350
81,13.3,32.6,32.3,31.8,31.1,4.1609142027813215,4,350
82,13.3,32.7,32.5,31.8,31.3,4.61229508726001,4,350
83,13.4,32.8,32.5,31.9,31.5,3.2376971555211638,3,400
84,13.4,33.1,32.7,32.0,31.6,3.155470007257581,3,400
85,13.4,33.1,32.8,32.0,31.6,2.75211178711131,3,400
86,13.4,33.1,32.8,32.0,31.7,2.7885964993818613,4,400
87,13.4,33.1,32.8,32.1,31.8,2.938563453869941,3,400
88,13.2,32.9,32.6,31.7,31.5,2.416692578981541,4,400
89,13.2,33.0,32.7,31.7,31.5,2.8605046311569975,4,400
90,13.2,33.1,32.8,31.9,31.7,3.1827621601406784,4,400
91,13.2,33.1,32.8,31.9,31.8,2.9122170417116844,2,400
92,13.2,33.1,32.8,32.0,31.9,2.73332082079802,4,400
93,13.2,33.2,32.8,32.0,32.0,2.7103943623797266,4,400
94,13.2,33.3,32.8,32.1,32.0,2.6444695766997546,3,400
95,13.2,33.4,32.8,32.4,32.0,2.508799614648379,4,400
96,13.0,33.1,32.5,32.2,31.8,2.633711329436026,4,400
97,13.0,33.2,32.7,32.2,31.9,2.599272723491967,3,400
98,13.0,33.3,32.8,32.3,31.9,2.362435387392155,4,400
99,13.0,33.5,32.9,32.4,32.0,2.635997711953986,3,400
100,13.0,33.5,33.0,32.5,32.1,2.343731689596175,4,400
101,13.0,33.6,33.0,32.6,32.1,2.8347697741727904,4,400
102,12.9,33.4,32.8,32.3,31.9,2.3974740213710835,3,400
103,12.9,33.4,32.8,32.4,32.0,2.378600209633965,4,400
104,12.9,33.4,32.9,32.5,32.1,2.7928566175341127,3,400
105,12.9,33.4,32.9,32.7,32.2,2.6843691866629804,4,400
106,12.9,33.5,33.0,32.8,32.2,2.5101871762904455,4,400
107,12.8,33.3,32.8,32.5,32.1,2.5788682378851218,4,400
108,12.8,33.4,32.9,32.6,32.1,2.6536437624776537,2,400
109,12.8,33.4,33.0,32.6,32.1,1.7001251292095096,3,450
110,12.8,33.4,33.2,32.9,32.2,1.5185533046377377,4,450
111,12.7,33.6,33.4,33.0,32.3,1.5264763506835182,2,450
112,12.6,33.4,33.3,32.9,32.2,1.4712502979281852,4,450
113,12.6,33.5,33.5,33.0,32.4,1.4459883583477269,4,450
114,12.5,33.4,33.3,33.0,32.4,1.5352752518235233,3,450
115,12.6,33.3,33.2,32.8,32.2,5.2179539359026545,3,450
116,12.8,33.2,33.2,32.7,32.1,5.947678274221673,3,450
117,12.8,33.2,33.2,32.9,32.1,3.567738510454901,2,450
118,12.8,33.3,33.2,32.9,32.2,1.7905102954341987,3,450
119,12.7,33.3,33.2,32.8,32.1,2.153888127050681,4,450
120,12.7,33.4,33.3,32.9,32.2,1.5237723727878634,3,450
121,12.7,33.6,33.4,33.1,32.4,1.6416870304262066,3,450
122,12.7,33.8,33.6,33.1,32.5,1.5785095397224034,4,450
123,12.6,33.6,33.5,33.1,32.4,1.4963306232291862,3,450
124,12.6,33.8,33.7,33.2,32.4,1.4207007464361723,3,450
125,12.5,33.7,33.6,33.1,32.4,1.4306233512065878,3,450
126,12.5,33.7,33.8,33.3,32.5,1.5254727249290465,3,450
127,12.5,33.8,33.8,33.4,32.8,1.69060707164032,4,450
128,12.4,33.9,33.9,33.5,32.9,1.6307533999169948,3,450
129,12.3,33.7,33.7,33.4,32.9,1.5477887516000266,3,450
130,12.3,33.8,33.9,33.5,33.0,1.5205124735240767,4,450
